jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
576f157e6d8111ec9af0141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, , slot1_1@glidein_290_308993523@osg-wn-61f12860-000026-5h6db, 1404, 2022-02-10T00:36:29.527957
57a8997a6d8111ec9af0141877284d92, 2, 1.32, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_77884401@osg-wn-61f12860-000027-6959f, 1224, 2022-02-10T00:42:09.006583
57dfdf706d8111ec9af0141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, , slot1_1@glidein_298_750320792@osg-wn-61f12860-00001d-sx2bj, 1296, 2022-02-10T02:21:00.529914
5812784a6d8111ec83fa141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1440, 2022-02-10T00:44:57.949522
583e84446d8111ec9af0141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1368, 2022-02-10T00:47:45.477597
58779cf26d8111eca4d7141877284d92, 2, 1.3, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/10/0, , slot1_1@glidein_297_428833401@osg-wn-61f12860-00001b-fv2pg, 1224, 2022-02-10T00:47:45.442976
58af86d06d8111ec934d141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, , slot1_1@glidein_298_750320792@osg-wn-61f12860-00001d-sx2bj, 1332, 2022-02-10T00:50:31.836622
58e4eb9a6d8111eca4d7141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/7/0, , slot1_1@glidein_290_267000300@osg-wn-61f12860-00001c-gdgnn, 1476, 2022-02-10T00:53:18.263655
5917c7366d8111ec83fa141877284d92, 2, 1.18, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/13/0, , slot1_1@glidein_302_65268397@osg-wn-61f12860-00001a-f6bxr, 1368, 2022-02-10T00:53:18.244167
5951a24e6d8111ec83fa141877284d92, 2, 1.32, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, , slot1_1@glidein_300_18829080@osg-wn-61f12860-000019-wmtkk, 1224, 2022-02-10T00:50:31.874076
5989278c6d8111ec9af0141877284d92, 2, 1.23, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_298_153724880@osg-wn-61f12860-000025-bp8sn, 1332, 2022-02-10T00:56:04.997885
59c1b1ba6d8111eca4d7141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, , slot1_1@glidein_290_308993523@osg-wn-61f12860-000026-5h6db, 1512, 2022-02-10T01:01:39.209266
59eece346d8111ec83fa141877284d92, 2, 1.29, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, , slot1_1@glidein_294_77884401@osg-wn-61f12860-000027-6959f, 1440, 2022-02-10T01:04:29.418540
5a23a8026d8111ec9af0141877284d92, 2, 1.31, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1188, 2022-02-10T01:04:29.391152
5a5248066d8111eca4d7141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1332, 2022-02-10T01:10:02.548679
5adf62726d8111ec83fa141877284d92, 2, 1.24, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, , slot1_1@glidein_298_750320792@osg-wn-61f12860-00001d-sx2bj, 1476, 2022-02-10T01:15:39.416847
5b194f326d8111ec9af0141877284d92, 2, 1.22, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, , slot1_1@glidein_300_18829080@osg-wn-61f12860-000019-wmtkk, 1368, 2022-02-10T01:12:52.492490
5b56053a6d8111ec9af0141877284d92, 2, 1.25, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/10/0, , slot1_1@glidein_297_428833401@osg-wn-61f12860-00001b-fv2pg, 1152, 2022-02-10T01:07:15.121043
