#GPU, mean, median
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8748
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8964
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8892
NVIDIA GeForce GTX 1080 Ti prp, 8928
NVIDIA GeForce GTX 1080 Ti prp, 8784
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8820
NVIDIA GeForce GTX 1080 Ti prp, 8676
